"Longitude_Maxima","Latitude_Maxima","Daten_Maxima.Aktivität","Daten_Maxima.Zeitdauer_Transport","Daten_Maxima.Zeit_Auftreffen","Daten_Maxima.Freisetzung_Kraftwerk"
150.345035214077,45.3130285105346,9568583436.69299,2,108,98
149.838028812024,47.5175141707428,16189482599.9477,2,108,98
150.345035214077,45.3130285105346,9568583436.69299,2,108,98
152.894954754674,46.4465178445435,55045216429.7581,4,110,98
151.923011597568,46.4251556728894,18432163684.7705,3,109,98
153.327366007184,45.9874317478311,6933200999.79081,3,109,98
154.112603842721,47.1744028462846,108659831372.988,3,109,98
154.212871310079,45.1064108660605,115593032372.779,2,108,98
153.885385280691,44.5273071695614,115593032372.779,3,109,98
151.903117392807,43.1110511258813,3523833384.41212,2,108,98
153.469073630123,45.4537855368106,4860104573.65668,4,110,98
154.279370833071,46.8747424538494,107209094414.71,4,110,98
150.40199174249,44.9142602038262,3523833384.41212,2,108,98
150.608725745779,46.1742430062178,14754854015.9262,3,109,98
150.490295923183,45.263175558413,18044929306.4393,3,109,98
150.40199174249,44.9142602038262,3523833384.41212,2,108,98
150.608725745779,46.1742430062178,14754854015.9262,3,109,98
153.383228702416,46.1845723450723,44709106204.0434,4,110,98
152.493907056866,46.2977665343542,34669566900.3164,3,109,98
153.198071452242,46.9986219340219,87045028947.9626,4,110,98
154.051859507804,45.7231638084733,6492943584.05593,3,109,98
154.741190093368,46.9622446518846,91002368174.0073,4,110,98
155.085775786837,46.0243239928898,57061818919.4046,4,110,98
152.754327531787,42.9464469555735,7918617359.3583,2,108,98
154.116025094096,44.1006135906272,6251545918.1542,3,109,98
154.848052072093,45.3063093606672,32363003745.0249,4,110,98
151.876298875685,42.6752129398932,48919014827.8057,2,108,98
153.141453659927,43.9742417628801,6099883553.22413,3,109,98
153.519343713064,45.1137479961491,5873099255.32317,4,110,98
151.032561654002,46.0760295187593,28811082346.1471,3,109,98
151.461277799193,47.4300711365625,125241846368.402,4,110,98
150.821655401813,45.0285187276107,9236709108.7575,3,109,98
151.296754067727,46.4330734129496,32489867625.8167,4,110,98
151.032561654002,46.0760295187593,28811082346.1471,3,109,98
151.461277799193,47.4300711365625,125241846368.402,4,110,98
151.134801101669,44.4546417641943,14148726623.3465,3,109,98
151.448166808023,45.7411874727902,8244114753.627,4,110,98
150.638684180049,45.5855592451861,18412330156.1664,3,109,98
152.127556471847,45.2684570417435,1684826825.66125,3,109,98
152.766933392737,46.6458682109066,27681821890.6287,4,110,98
151.910166883088,43.2321083049758,3595579821.19465,2,108,98
153.479263712406,45.574842715905,4959057942.76114,4,110,98
151.433882923055,42.3544259305423,27753680491.2986,2,108,98
150.613867881164,42.0630157183463,89009574688.4239,2,108,98
149.322131059304,45.3940139481184,29383278253.5095,3,109,98
149.167297305337,43.3528751790844,12379220457.5485,2,108,98
149.2064958173,44.3762594180181,27157192822.7518,3,109,98
149.322131059304,45.3940139481184,29383278253.5095,3,109,98
141.025689,37.316501,14575338626220.3,1,100,99
141.025689,37.316501,187024661373780,1,100,99
141.025689,37.316501,4876894576953.32,1,100,99
141.218063835459,37.4625835717314,30240145303567.1,2,101,99
141.491062029774,37.6554052461827,1478837010446.11,3,102,99
142.176709369263,37.9743644369807,678895968497.62,4,103,99
143.336935550447,38.5277449038427,113840336206.245,1,104,99
